"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.122514188E2,6.504089788E1,2.549396811E1,2.173551721E1,4.627509415E-2,3.195730286E2,2.511637449E0,3.000000000E0
2.132514338E2,6.504089783E1,2.549396836E1,2.121961013E1,3.789686412E-2,3.195730286E2,2.476672649E0,3.000000000E0
2.142514458E2,6.504089755E1,2.549396870E1,2.048850249E1,2.376283519E-2,3.195730286E2,2.475929737E0,3.000000000E0
2.152514468E2,6.504089760E1,2.549396790E1,2.019731263E1,5.651776120E-2,3.195730286E2,2.446846485E0,3.000000000E0
2.162514698E2,6.504089809E1,2.549395805E1,2.035720397E1,3.296690583E-1,2.907810974E2,2.400663137E0,3.000000000E0
2.172514808E2,6.504089672E1,2.549392228E1,2.004941711E1,7.710010409E-1,2.945444031E2,2.350438118E0,3.000000000E0
2.182514918E2,6.504089956E1,2.549388189E1,1.994856568E1,1.276993871E0,2.952055969E2,2.341246605E0,3.000000000E0
2.192515888E2,6.504090198E1,2.549384352E1,2.018245690E1,1.459608316E0,2.986669006E2,2.303466320E0,3.000000000E0
2.202515488E2,6.504090822E1,2.549381282E1,2.020500134E1,1.497458339E0,2.941622009E2,2.312141418E0,3.000000000E0
2.212515328E2,6.504091739E1,2.549377528E1,2.048083212E1,1.610587358E0,2.896639099E2,2.268074274E0,3.000000000E0
2.222515498E2,6.504092218E1,2.549373429E1,2.047665618E1,1.673662186E0,2.909890747E2,2.254907608E0,3.000000000E0
2.232515558E2,6.504092916E1,2.549369933E1,2.042772116E1,1.685839534E0,2.968940430E2,2.298999548E0,3.000000000E0
2.242516098E2,6.504093843E1,2.549366509E1,2.040574628E1,1.709995747E0,3.025479431E2,2.348376036E0,3.000000000E0
2.252516038E2,6.504093943E1,2.549362464E1,2.074367579E1,1.726905942E0,3.030033875E2,2.277962685E0,3.000000000E0
2.262515898E2,6.504094456E1,2.549359331E1,2.093354502E1,1.697871685E0,3.007807922E2,2.306089401E0,3.000000000E0
2.272516988E2,6.504095008E1,2.549356031E1,2.105695367E1,1.683193207E0,2.997386475E2,2.329481602E0,3.000000000E0
2.282516288E2,6.504095246E1,2.549353591E1,2.134348907E1,1.613690853E0,3.001458740E2,2.342818260E0,3.000000000E0
2.292516278E2,6.504095686E1,2.549352976E1,2.138411171E1,1.370527864E0,3.001458740E2,2.407275677E0,3.000000000E0
2.302516868E2,6.504095683E1,2.549354181E1,2.152336023E1,1.182207227E0,3.001458740E2,2.378456593E0,3.000000000E0
2.312516648E2,6.504096325E1,2.549355106E1,2.159140383E1,3.192660213E-1,3.001458740E2,2.423309088E0,3.000000000E0
